region,match_id,match_url,event_id,match_date,match_time
EMEA,753444,https://www.vlr.gg/753444/100-thieves-vs-t1-valorant-champions-2026-opening-a,2766,2026-09-26,TBD
EMEA,753452,https://www.vlr.gg/753452/tbd-valorant-champions-2026-elim-b,2766,2026-09-26,TBD
EMEA,753458,https://www.vlr.gg/753458/tbd-valorant-champions-2026-decider-c,2766,2026-09-26,TBD
EMEA,753453,https://www.vlr.gg/753453/tbd-valorant-champions-2026-decider-b,2766,2026-09-26,TBD
EMEA,753448,https://www.vlr.gg/753448/tbd-valorant-champions-2026-decider-a,2766,2026-09-26,TBD
EMEA,753462,https://www.vlr.gg/753462/tbd-valorant-champions-2026-elim-d,2766,2026-09-26,TBD
EMEA,753461,https://www.vlr.gg/753461/tbd-valorant-champions-2026-winners-d,2766,2026-09-26,TBD
EMEA,753457,https://www.vlr.gg/753457/tbd-valorant-champions-2026-elim-c,2766,2026-09-26,TBD
EMEA,753456,https://www.vlr.gg/753456/tbd-valorant-champions-2026-winners-c,2766,2026-09-26,TBD
EMEA,753451,https://www.vlr.gg/753451/tbd-valorant-champions-2026-winners-b,2766,2026-09-26,TBD
EMEA,753445,https://www.vlr.gg/753445/jd-gaming-vs-fut-esports-valorant-champions-2026-opening-a,2766,2026-09-26,TBD
EMEA,753447,https://www.vlr.gg/753447/tbd-valorant-champions-2026-elim-a,2766,2026-09-26,TBD
EMEA,753446,https://www.vlr.gg/753446/tbd-valorant-champions-2026-winners-a,2766,2026-09-26,TBD
EMEA,753460,https://www.vlr.gg/753460/nongshim-redforce-vs-nrg-valorant-champions-2026-opening-d,2766,2026-09-26,TBD
EMEA,753459,https://www.vlr.gg/753459/karmine-corp-vs-xi-lai-gaming-valorant-champions-2026-opening-d,2766,2026-09-26,TBD
EMEA,753455,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,2766,2026-09-26,TBD
EMEA,753454,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,2766,2026-09-26,TBD
EMEA,753450,https://www.vlr.gg/753450/loud-vs-edward-gaming-valorant-champions-2026-opening-b,2766,2026-09-26,TBD
EMEA,753449,https://www.vlr.gg/753449/global-esports-vs-team-vitality-valorant-champions-2026-opening-b,2766,2026-09-26,TBD
EMEA,753463,https://www.vlr.gg/753463/tbd-valorant-champions-2026-decider-d,2766,2026-09-26,TBD
EMEA,712803,https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1,2976,2026-07-15,10:00 PM
EMEA,712804,https://www.vlr.gg/712804/team-liquid-vs-eternal-fire-vct-2026-emea-stage-2-w1,2976,2026-07-16,12:10 AM
EMEA,712805,https://www.vlr.gg/712805/fnatic-vs-giantx-vct-2026-emea-stage-2-w1,2976,2026-07-16,10:00 PM
EMEA,712806,https://www.vlr.gg/712806/pcific-esports-vs-gentle-mates-vct-2026-emea-stage-2-w1,2976,2026-07-17,12:35 AM
EMEA,712807,https://www.vlr.gg/712807/karmine-corp-vs-eternal-fire-vct-2026-emea-stage-2-w1,2976,2026-07-17,10:00 PM
EMEA,712808,https://www.vlr.gg/712808/team-vitality-vs-natus-vincere-vct-2026-emea-stage-2-w1,2976,2026-07-18,12:25 AM
EMEA,712809,https://www.vlr.gg/712809/gentle-mates-vs-fut-esports-vct-2026-emea-stage-2-w1,2976,2026-07-18,10:00 PM
